nr,id,idh,idl,ev1,varh,varl,xh,yh,pxh,pyh,xl,yl,pxl,pyl,dh,dl,b,start,trial,state,hvalue,lvalue,prhv_rsft,prstate
1,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,1,1,3,0,1,0,1,1,0.5,1
1,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,1,1,3,0,2,1,1,1,0.5,0.55
1,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,1,1,3,0,2,4,1,1,0.5,0.3
1,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,1,1,3,0,2,7,1,1,0.5,0.15
1,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,1,1,3,0,3,2,1,1,0.5,0.3025
1,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,1,1,3,0,3,5,1,1,0.5,0.33
1,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,1,1,3,0,3,8,1,1,0.5,0.255
1,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,1,1,3,0,3,11,1,1,0.5,0.09
1,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,1,1,3,0,3,14,1,1,0.5,0.0225
2,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,4,0,1,0,0.888,0.936,0.440286350732807,1
2,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,4,0,2,1,0.72,0.84,0.354343693774204,0.484314985806088
2,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,4,0,2,4,1,1,0.5,0.264171810439684
2,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,4,0,2,7,1,1,0.5,0.132085905219842
2,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,4,0,3,2,0.3,0.6,0.182425523806356,0.188775357122804
2,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,4,0,3,5,1,1,0.5,0.248262872354265
2,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,4,0,3,8,1,1,0.5,0.203382979309038
2,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,4,0,3,11,1,1,0.5,0.0792515431319053
2,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,4,0,3,14,1,1,0.5,0.0198128857829763
3,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,5,0,1,0,0.888,0.936,0.440286350732807,1
3,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,5,0,2,1,0.72,0.84,0.354343693774204,0.484314985806088
3,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,5,0,2,4,1,1,0.5,0.264171810439684
3,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,5,0,2,7,1,1,0.5,0.132085905219842
3,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,5,0,3,2,0.3,0.6,0.182425523806356,0.188775357122804
3,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,5,0,3,5,1,1,0.5,0.248262872354265
3,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,5,0,3,8,1,1,0.5,0.203382979309038
3,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,5,0,3,11,1,1,0.5,0.0792515431319053
3,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,5,0,3,14,1,1,0.5,0.0198128857829763
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,1,0,0.888,0.936,0.440286350732807,1
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,2,1,0.72,0.84,0.354343693774204,0.484314985806088
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,2,4,1,1,0.5,0.264171810439684
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,2,7,1,1,0.5,0.132085905219842
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,3,2,0.3,0.6,0.182425523806356,0.188775357122804
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,3,5,1,1,0.5,0.248262872354265
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,3,8,1,1,0.5,0.203382979309038
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,3,11,1,1,0.5,0.0792515431319053
4,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.888,0.936,6,0,3,14,1,1,0.5,0.0198128857829763
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,1,0,0.657,0.708,0.436593213737806,1
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,2,1,0.51,0.48,0.53742984534375,0.480252535111587
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,2,4,0.72,0.84,0.354343693774204,0.261955928242684
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,2,7,1,1,0.5,0.130977964121342
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,2,0.3,0,0.817574401620406,0.28391225023806
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,5,0.3,0.6,0.182425523806356,0.256965901744098
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,8,1,1,0.5,0.205161952699765
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,11,1,1,0.5,0.0671401186022715
5,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,7,0,3,14,1,1,0.5,0.0196466946182013
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,1,0,0.657,0.708,0.436593213737806,1
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,2,1,0.51,0.48,0.53742984534375,0.480252535111587
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,2,4,0.72,0.84,0.354343693774204,0.261955928242684
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,2,7,1,1,0.5,0.130977964121342
6,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.657,0.708,8,0,3,2,0.3,0,0.817574401620406,0.28391225023806
