betadraw,trial,state,prhv_rsft,prstate,hvalue,lvalue,numberOfdraws,sampleNR,count_xh,count_xl,xh,yh,xl,yl,pxh,pyh,pxl,pyl,b,count_yh,count_yl,pmax,nr,id,bxh,bxl,byh,byl,start
1,1,0,0.775276383887061,1,0.907571904071477,0.659902240902745,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
1,2,1,0.964412021200275,0.145485519640992,0.659902240902745,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
1,2,2,0.964412021200275,0.775276383887061,0.659902240902745,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
1,2,8,0.681832738847248,0.62979086424607,0.964785102437807,0.812343671670276,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
1,3,2,0.5,0.0263296811226078,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
1,3,3,0.5,0.280615968104682,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
1,3,4,0.5,0.747685864373361,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
1,3,9,0.983072075741606,0.194560187795728,0.812343671670276,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
1,3,10,0.983072075741606,1.03678991019089,0.812343671670276,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
1,3,16,0.5,0.348830145003879,1,1,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.812343671670276,1,0.187656328329724,0,0
2,1,0,0.643683295847074,1,0.201366774578353,0.0830893996334763,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
2,2,1,0.602393125074211,0.458140092866821,0.0830893996334763,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
2,2,2,0.602393125074211,0.643683295847074,0.0830893996334763,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
2,2,8,0.736103664293251,0.185543202980253,0.493415239145697,0.288252319389587,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
2,3,2,0.5,0.19642843967512,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
2,3,3,0.5,0.551960884527668,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
