nr,id,idh,idl,ev1,varh,varl,xh,yh,pxh,pyh,xl,yl,pxl,pyl,dh,dl,b,start,trial,state,hvalue,lvalue,prhv_rsft,prstate,optdiff,sumoptdiff
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,1,0,0.512,0.16,0.853209660198618,1,0.352,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,2,1,0,0,0.5,0.170641932039723,0,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,2,6,0,0.04,0.450166126445812,0.682567728158894,0.04,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,2,8,0.64,0.16,0.916827303506078,0.682567728158894,0.48,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,2,9,0.64,0.36,0.802183888558582,0.170641932039723,0.28,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,2,0,0,0.5,0.0170641932039723,0,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,7,0,0,0.5,0.129710546860331,0,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,9,0,0,0.5,0.193416118749527,0,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,10,0,0,0.5,0.0444414349229273,0,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,12,0,0,0.5,0.245815096177766,0,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,14,0,0,0.5,0.746452479912317,0,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,15,0,0.2,0.268941519675973,0.170962740920261,0.2,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,16,0.8,0.2,0.952574126822433,0.500637383734551,0.6,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,17,0.8,0.2,0.952574126822433,0.234668312809457,0.6,2.752
3057,144,70,422,6.6,7.84,1.44,8,1,0.8,0.2,6,9,0.8,0.2,0.512,0.16,24,0,3,18,0.8,1,0.268941421369995,0.0273772417189549,0.2,2.752
