nr,id,idh,idl,ev1,varh,varl,xh,yh,pxh,pyh,xl,yl,pxl,pyl,dh,dl,b,start,trial,state,hvalue,lvalue,prhv_rsft,prstate,optdiff
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,1,0,0.9,0.936,0.45512110762642,1,0.036
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,2,1,0,0,0.5,0.045512110762642,0
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,2,8,0.9,0.92,0.47502081252106,0.364096886101136,0.02
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,2,9,0.9,1,0.377540668798145,0.500633218389062,0.1
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,3,2,0,0,0.5,0.0022756055381321,0
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,3,9,0,0,0.5,0.0355002041722717,0
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,3,10,0,0,0.5,0.0439326009287705,0
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,3,16,0.9,0.2,0.970687769248644,0.13836287893772,0.7
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,3,17,0.9,1,0.377540668798145,0.341456478613904,0.1
3108,146,352,424,8.2,5.76,0.16,1,9,0.1,0.9,8,9,0.8,0.2,0.9,0.936,25,0,3,18,0.9,1,0.377540668798145,0.207910340102492,0.1
